评论内容,评分,标题,作者,地区
진짜 나가기 귀찮을 때는 집에서 이거 시켜 먹음. 굿!!!,5,넘 편안해여,게임 소녀,KR
方便。,5,Good,별을 헤이는 밤,KR
확실히 좋아요,5,중국은 배달시대,한국인노동자1호,KR
ㅃㅂ,5,굿,joe892000,KR
to be nice,5,Good,to day good,KR
太方便了，皮肤药及时送到，谢谢,5,谢谢骑手张旭,甜甜在韩国,KR
편리하고 젛아요,5,최고의 앱이에요,아름다운 청년,KR
真的难吃 千万不要买这家 浪费钱,1,气死我了,짜잉!!,KR
服务好，用心，只愿骑手安全最好,5,一路顺风,很̤̮‌好̤̮‌,KR
服务好，也很好吃,5,服务好，也很好吃,candyhan98,KR
一个女生吃 菜量太多 饭也是剩一半,5,好吃,문령,KR
服务热情 松或给力👍👍👍,5,赞,an di king 88,KR
아주좋아요...!,5,아주좋아요...!,Franklho118,KR
小哥辛苦了～～谢谢！,5,孩子们吃的很开心，谢谢～～,点点滴滴0308,KR
굿,4,굿,ㅇㅇ재미ㅛ댱,KR
味道真是不错👍🏻👍🏻 调味和酱油炸鸡 好吃😋,5,Kkkk,xiaoshen22,KR
非常满意,5,非常满意  都这么晚了  还这么亲切.....,金义证,KR
垃圾软件,1,垃圾,마나다오,KR
挺好的,5,挺满意,朴争妍,KR
快递阿姨的速度也超级快，美食味道也不错，尤其配菜看着很干净，价位也可以。好评哦^-^,5,味道不错,上瘾，真的上瘾^-^,KR
油腻颜色太黑,5,颜色不好,socyoung,KR
Great!!,5,送 so goood,FEELCOMM15,KR
"量足啊
很好吃",5,好吃,娥琳,KR
좋아여 굳,5,세상 참좋아졋메요,경희쓰,KR
Delicious,5,it'good,floridagators^^,KR
